Date,24HPass,3DPass,7DPass,Trips,Miles,Year,Month,Day,MonthYear,revenue,LogTrips
2013-07-16,1288.0,0.0,251.0,34757,61.856,2013,7,16,2013-07-01,19090.6,10.456136269555778
2013-07-17,1303.0,0.0,201.0,35172,60.698,2013,7,17,2013-07-01,17989.85,10.468005590498892
2013-07-18,1094.0,0.0,143.0,33222,56.228,2013,7,18,2013-07-01,14460.3,10.410967586051022
2013-07-19,1389.0,0.0,164.0,30667,52.784,2013,7,19,2013-07-01,17920.55,10.330942436869211
2013-07-20,2811.0,0.0,169.0,29145,58.799,2013,7,20,2013-07-01,32194.449999999997,10.28003865047965
2013-07-21,3502.0,0.0,191.0,34694,76.31,2013,7,21,2013-07-01,39619.899999999994,10.454322040321355
2013-07-22,1005.0,0.0,184.0,29787,50.145,2013,7,22,2013-07-01,14599.75,10.301827335701704
2013-07-23,1390.0,0.0,220.0,37296,65.911,2013,7,23,2013-07-01,19330.5,10.526641361275539
2013-07-24,1708.0,0.0,211.0,40699,74.469,2013,7,24,2013-07-01,22269.6,10.613958801104268
2013-07-25,1163.0,0.0,144.0,36207,62.188,2013,7,25,2013-07-01,15171.849999999999,10.497007749286007
2013-07-26,2073.0,0.0,176.0,39499,72.71,2013,7,26,2013-07-01,25026.35,10.58403063411305
2013-07-27,4259.0,0.0,197.0,37131,82.27,2013,7,27,2013-07-01,47302.049999999996,10.522207479208133
2013-07-28,2391.0,0.0,137.0,26780,53.562,2013,7,28,2013-07-01,27215.449999999997,10.195410619245164
2013-07-29,1712.0,0.0,275.0,40018,73.425,2013,7,29,2013-07-01,23909.399999999998,10.597084631876438
2013-07-30,1701.0,0.0,237.0,42982,77.917,2013,7,30,2013-07-01,22849.949999999997,10.66853670238515
2013-07-31,1692.0,0.0,186.0,42745,76.982,2013,7,31,2013-07-01,21485.399999999998,10.663007508460334
2013-08-01,415.0,0.0,73.0,23025,34.794000000000004,2013,8,1,2013-08-01,5954.25,10.044335861123507
2013-08-02,2302.0,0.0,230.0,40654,75.39,2013,8,2,2013-08-01,28654.899999999998,10.612852511118907
2013-08-03,3417.0,0.0,180.0,34173,73.3,2013,8,3,2013-08-01,38499.149999999994,10.439191137568022
2013-08-04,4547.0,0.0,261.0,40103,93.191,2013,8,4,2013-08-01,51767.649999999994,10.59920642346389
2013-08-05,1924.0,0.0,276.0,41759,78.764,2013,8,5,2013-08-01,26043.8,10.639670275909648
2013-08-06,1778.0,0.0,222.0,42974,79.262,2013,8,6,2013-08-01,23241.1,10.668350560637673
2013-08-07,1261.0,0.0,183.0,39120,66.709,2013,8,7,2013-08-01,17121.949999999997,10.574389124148754
2013-08-08,946.0,0.0,137.0,32063,51.665,2013,8,8,2013-08-01,12837.699999999999,10.375457996333441
2013-08-09,1269.0,0.0,134.0,32926,54.952,2013,8,9,2013-08-01,15976.55,10.402017898207967
2013-08-10,5567.0,0.0,223.0,43368,103.744,2013,8,10,2013-08-01,60966.649999999994,10.677477120940175
2013-08-11,3826.0,0.0,234.0,37161,83.00399999999998,2013,8,11,2013-08-01,43918.7,10.52301510322231
